,Astrocyte,Endothelial,Microglia,Excitatory,Inhibitory,Oligo
SLC17A7,0.040390561,0.966799,0,398.5268675,1.6422688,1.1941426
CHN1,322.6138957,34.3061067,0,2691.370878,243.5661088,28.22547229
NPTX1,3.030315719,8.01200925,0,582.5649676,11.16628764,0.163064743
RYR2,0.893341825,2.2544176,0,306.1921921,70.52163984,7.179029486
MKL2,14.43231849,67.99955265,8.433412714,198.6433413,18.74438598,0.999169229
ENC1,2.421822614,11.128192,65.24214214,784.807245,232.3844104,2.665108714
SYN2,9.581307053,0.9442241,1.944208929,475.630076,114.1848334,0.10492
SV2B,0.122877333,0.2881153,0,313.1245717,9.741714086,2.1712272
NEUROD6,0.198033965,3.54639665,0,914.2472112,0.909953057,0.296405314
GAP43,31.82145218,39.0183986,0.946621,1267.77647,342.804418,42.77676877
PRKCB,1.509984263,45.4853542,80.73816679,337.9377482,108.32193,18.06566994
HTR2A,0.350995614,12.11373645,0,389.0680709,22.80878145,1.398970057
SH3GL2,20.30044284,1.2363922,0.431229143,433.4946623,80.8142619,0
RALYL,20.80976605,0,0,629.8009182,81.00939794,5.321277086
OLFM1,105.7596311,25.01514035,1.129894571,880.7216677,300.3323385,19.47694517
STMN1,142.5084029,558.5739116,64.82739686,3705.906306,1589.2999,2143.456212
UCHL1,72.1182904,76.9727501,1.981395214,2866.959329,1422.231757,134.6526741
PCLO,8.207617842,11.1779662,0.176332214,381.1323324,158.0120016,20.19517449
NELL2,0.966600509,0.2714833,0,400.4319741,181.7809525,30.38905791
PHYHIP,0.295057351,0,0,227.8589502,48.52091026,0
LDB2,6.356976982,6.38131515,0,296.7273687,55.79995193,21.46286166
SCN3B,5.56917393,8.398147,0,340.0204738,111.8534476,5.117076771
ARPP21,11.81466598,9.91422325,0,279.4673354,70.45118353,14.27255266
PDE1A,0.202338193,53.7224701,0,201.3594274,19.4909537,144.7826874
PPP2R2C,32.78753721,1.25735905,0,60.35053752,20.74200594,1.646648971
LMO4,28.843397,24.95209485,2.550785143,209.8293954,29.32696416,19.8510628
CNKSR2,56.51474019,3.3611167,0,292.4193197,137.0092376,4.5728482
KHDRBS3,3.797515895,79.35018675,40.67520307,351.6297865,55.7500811,19.51354063
CACNA2D1,4.414064298,0.1275147,0,134.793407,17.38513534,10.03529811
SLIT1,12.22604449,0.20430505,0,124.5630746,54.84733159,1.221224486
MICAL2,0.187101105,0.600879,0,107.394636,20.98121064,0.928244171
CELF2,184.1113525,51.9840336,280.6820969,448.6601712,190.2761935,5.708772514
SATB2,12.19368535,13.1955826,0,101.9682389,0.618653895,47.93249331
TSHZ2,0.125690123,0.3109428,0,114.2741167,6.322688152,0.378591086
ANO3,0.053890158,28.6209907,0.159658857,276.1077968,0.857780876,0.908685143
LRMP,0.381759018,0.46046285,603.8278614,422.0949537,2.115446924,0.284366971
OLFM3,2.083731228,0,1.012237286,596.1941915,246.3093461,10.32383697
R3HDM1,35.25690933,22.6774675,65.82344743,676.9839286,206.2377737,27.93732497
SYT7,0.050132509,0,0,57.9971893,13.18428887,0.276964229
GABRA5,0.154628053,0.25205685,0,297.158662,33.46033807,0.998723486
PPP3CA,372.7862406,174.8464953,411.4653535,1842.469377,662.5625028,554.5724722
PAK1,6.242775333,71.0054402,78.14672579,312.2504713,144.2134285,26.71304603
CREG2,1.256058789,1.3970507,0,233.7618222,71.14248952,56.07691826
VSNL1,51.74774239,36.66152365,0.859030357,2549.077264,1453.297763,111.1942211
RGS4,1.445972965,208.1302301,0.167705,935.1743581,236.1623008,6.868057571
SYN1,8.339684614,6.0132605,13.15831714,227.974753,91.17056482,12.73231634
CAMK2A,6.795507561,3.51758735,0.205022143,319.6893601,139.4251998,2.825659457
CELF5,1.107427298,0.3760184,0,61.117056,22.61074632,7.345456686
BSN,1.778707105,2.08192495,0.0405875,73.18805335,35.75851744,1.964474914
SYT4,16.41642456,16.3363337,0,615.6359877,332.6207614,15.00213054
GAD1,24.9763927,12.59412525,0,74.10069752,1047.461431,61.10298451
ARL4C,48.63110112,21.9723515,12.52413021,181.2006167,589.9980296,41.75220051
MEG3,26.36278453,36.8503693,0.041761214,717.2105656,1019.422077,65.84125631
NRIP3,2.733665912,181.5390605,149.3350148,97.20078904,877.5762359,14.84339197
SCG2,160.7531767,110.3544131,0,1157.934352,3267.893007,101.9984338
SYNPR,27.75263521,53.6881287,0,704.9200027,1623.523937,30.43750729
GABRB2,16.21292781,17.6050468,0.236545286,371.9374834,527.1360472,7.916648143
MYT1L,7.311801404,12.7839281,0,347.1322886,359.5119288,16.09114546
ATP1B1,110.049813,470.2192409,384.2168167,1484.581785,3005.396035,1345.348424
ROBO2,3.602038,5.7838592,0.113907857,31.2288597,119.5061591,0.627769857
FXYD6,22.30472521,123.5436557,0,717.3739024,923.5106004,105.0221453
DLX6-AS1,0.115031544,2.45449875,0,0.847438043,107.4997619,0.242410914
NRXN3,5.377247018,7.2812929,0,123.7614902,249.7320025,56.28788603
GAD2,5.543267263,15.13373825,0,10.89087161,157.3854493,1.797687171
